reviewer_1,reviewer_2,our_id,document_title,doi,document_link,authors,publication_year,abstract,database,open_access,new_doc_type,journal,conference,book,affiliation_country,content_area,research_question,data_collection_type,main_field,big_pic_notes,interesting_facts,keywords,keep,why_not_keep
5,2,Kakeshita_2022_development,development of ipsj data science curriculum standard,10.1007/978-3-030-97986-7_13,https://doi.org/10.1007/978-3-030-97986-7_13,"Kakeshita T., Ishii K., Ishikawa Y., Matsubara H., Matsuo Y., Murata T., Nakano M., Nakatani T., Okumura H., Takahashi N., Takahashi N., Uchida G., Uematsu E., Saeki S., Kato H.",2022,"The Information Processing Society of Japan (IPSJ) published a curriculum standard for university-level education majoring in data science (DS) (An English translation of the IPSJ Data Science Curriculum Standard is available at: https://www.ipthree.org/wp-content/uploads/IPSJ-DS-Curriculum_202104_en.pdf). In this paper, we shall report strategy and development of the DS curriculum standards. Data science education and the development of data scientists are recognised to be quite important in both social and business contexts. The IPSJ DS curriculum standard is developed by integrating various related initiatives and has the following unique features. (1) The DS curriculum standard covers a wide range of related fields to ensure international compatibility through mapping to the ACM Data Science curriculum and the European EDISON Data Science Framework. (2) It collaborates with the IPSJ Data Scientist certification (under development) by referring to the Data Scientist skill checklist (assistant level) developed by the Data Scientist Society of Japan. (3) It clarifies the knowledge and skills required of students majoring in data science. (4) It assigns a time to each educational content so that the curriculum size becomes approximately 675 class hours (60 credits in the Japanese credit system). (5) It collaborates with the Model Curriculum for Mathematics, Data Science and AI Education (literacy level) developed by the Japan Inter-University Consortium for Mathematics and Data Science, supported by the Japanese government.",Scopus,TRUE,conference paper,NA,IFIP Advances in Information and Communication Technology,NA,"Japan, Japan, Japan, Japan, Japan, Japan, Japan, Japan, Japan, Japan, Japan, Japan",program example,FALSE,no data,data science,Details the standard data science curriculum in Japan and explains the principles that guided its development.,NA,"Data science, Curriculum development, Statistics, Artificial intelligence, Computer science, Data management, Software engineering, Data scientist certification

",TRUE,NA
2,5,Li_2020_statistical_hypothesis,statistical hypothesis testing versus machine learning binary classification: distinctions and guidelines,10.1016/j.patter.2020.100115,https://doi.org/10.1016/j.patter.2020.100115,"Li JJ,Tong X",2020,"Summary Making binary decisions is a common data analytical task in scientific research and industrial applications. In data sciences, there are two related but distinct strategies: hypothesis testing and binary classification. In practice, how to choose between these two strategies can be unclear and rather confusing. Here, we summarize key distinctions between these two strategies in three aspects and list five practical guidelines for data analysts to choose the appropriate strategy for specific analysis needs. We demonstrate the use of those guidelines in a cancer driver gene prediction example.",science direct,TRUE,article,Patterns,NA,NA,"United States, United States",NA,NA,NA,NA,NA,NA,NA,FALSE,Not about data science education
5,2,Price_2020_challenges,challenges and approaches to teaching data science technologies in an information technology program with non-traditional students,10.1109/cic48465.2019.00015,https://doi.org/10.1109/cic48465.2019.00015,R. Price; L. Ramaswamy,2020,"Teaching Data Science to traditional CS majors presents many challenges to students, faculty and the supporting infrastructure. When the student population changes from Computer Science students to those in an Information Technology program where many of the core CS courses are not required, additional challenges arise. Couple these challenges with teaching non-traditional students who are also involved with their families and careers; the difficulty in teaching this material rises exponentially. For our experiment, we chose to teach the Hadoop Distributed File System, the Map/Reduce paradigm, and basic Hadoop programming to expose these students to Data Science technologies. We will discuss our recent experience teaching Data Science to Information Technology students and the challenges we had to overcome, including missing distributed systems knowledge, a lack of basic Unix and operating systems understanding and a complete unfamiliarity with a Distributed File System.",IEEE,FALSE,conference paper,NA,IEEE International Conference on Collaboration and Internet Computing,NA,"United States, United States",class activity example,TRUE,mixed,information technology,"By reporting on several iterations of a Information Technology Software Development concentration capstone, the authors argue for the need to teach core concepts such as Unix and Distributed Systems before attempting to teach Data Science fundamentals to information technology students.",NA,"Data Science Education, Big Data Education, Data Intensive Computing Education",TRUE,NA
2,5,Howe_2017_data_science,"data science education: we're missing the boat, again",10.1109/icde.2017.215,https://doi.org/10.1109/icde.2017.215,B. Howe; M. Franklin; L. Haas; T. Kraska; J. Ullman,2017,"In the first wave of data science education programs, data engineering topics (systems, scalable algorithms, data management, integration) tended to be de-emphasized in favor of machine learning and statistical modeling. The anecdotal evidence suggests this was a mistake: data scientists report spending most of their time grappling with data far upstream of modeling activities. A second wave of data science education is emerging, one with increased emphasis on practical issues in ethics, legal compliance, scientific reproducibility, data quality, and algorithmic bias. The data engineering community has a second chance to influence these programs beyond just providing a set of tools. In this panel, we'll discuss the role of data engineering in data science education programs, and how best to capitalize on emerging opportunities in this space.",IEEE,FALSE,conference panel,NA,IEEE International Conference on Data Engineering,NA,"United States, United States, United States, United States, United States",review of current state of data science education,FALSE,no data,data engineering,Data engineering is not taught enough to future data scientists,NA,"Data science, Computer science, Data engineering, Education, Data models, Databases, Data science, Computer science, Data engineering, Education, Data models, Databases, Machine learning algorithms",TRUE,NA
5,2,Anderson_2014_data_science,data science as an undergraduate degree,10.1145/2538862.2538868,https://doi.org/10.1145/2538862.2538868,"Anderson P., McGuffee J., Uminsky D.",2014,The purpose of this panel is to discuss the creation and implementation of a data science degree program at the undergraduate level. The panel includes representatives from three different universities that each offers an undergraduate degree in Data Science as of fall 2013. We plan to share information on the logistics of how the data science programs came to exist at each of our schools as well as encourage a robust interactive discussion about the future of data science education at the undergraduate level.,Scopus,FALSE,conference panel,NA,ACM technical symposium on Computer science education,NA,"United States, United States, United States",program example,FALSE,no data,data science,The panel includes representatives from three different universities that each offers an undergraduate degree in Data Science as of fall 2013 to discuss the creation and implementation of a data science degree program at the undergraduate level,NA,"Curriculum Design, Data Analytics, Data Science, Interdisciplinary, Transdisciplinary",TRUE,NA
2,5,Haynes_2019_integrating_data,integrating data science into a general education information technology course: an approach to developing data savvy undergraduates,10.1145/3349266.3351417,https://doi.org/10.1145/3349266.3351417,"Haynes M., Groen J., Sturzinger E., Zhu D., Shafer J., McGee T.",2019,"The National Academies recommend academic institutions foster a basic understanding of data science in all undergraduates. However, data science education is not currently a graduation requirement at most colleges and universities. As a result, many graduates lack even basic knowledge of data science. To address the shortfall, academic institutions should incorporate introductory data science into general education courses. A general education IT course provides a unique opportunity to integrate data science education. Modules covering databases, spreadsheets, and presentation software, already present in many survey IT courses, teach concepts and skills needed for data science. As a result, a survey IT course can provide comprehensive introductory data science education by adding a data science module focused on modeling and evaluation, two key steps in the data science process. The module should use data science software for application, avoiding the complexities of programming and advanced math, while enabling an emphasis on conceptual understanding. We implemented a course built around these ideas and found that the course helps develop data savvy in students.",Scopus,FALSE,conference paper,NA,Annual SIG Conference on Information Technology Education,NA,"United States, United States, United States, United States, United States, United States",course example,FALSE,mixed,information technology,Example of integrating data science into a general education IT course to foster a basic understanding of data science in all undergraduates as recommended by the National Academies.,NA,"Introductory Data Science, Information Technology Education, Database, Data Mining, Data Visualization, CRISP-DM",TRUE,NA
5,2,Zheng_2022_pressure_test,pressure test: finding appropriate data size for practice in data science education,10.1145/3537674.3554748,https://doi.org/10.1145/3537674.3554748,"Zheng Y., Liu A., Zheng S.",2022,"Data science, such as data analytics, data mining, machine learning, became one popular curriculum in information technology educations. The lectures on these topics cannot stand alone without coding practice on real-world data sets. Some instructors prefer to utilize small data sets for practice in classroom or assignments, which limits experimental experiences and may even bring misleading experiences to students. Others may try to assign large data sets to students, but students may not be able to bear with the running time due to the efficiency issue raised by several factors (e.g., data size, algorithm complexity, computing power, etc.). In this paper, we first learned students’ preferences on the scalability of data sets for practice in data science courses, and performed experimental analysis by running different data science algorithms over both student laptops and personal/office computers, in order to deliver a suggestion about the appropriate data size for practice in multiple scenarios (e.g., in-class practice, assignments, class projects, research projects, etc.). We believe that our findings are valuable to help instructors prepare and assign real-world data sets to students in data science curriculum.",Scopus,TRUE,conference paper,NA,Annual Conference on Information Technology Education,NA,"United States, United States, United States",pedagogical approach,TRUE,mixed,data science,"Aims to guide instructors prepare and assign real-world data sets, especially with respect to the size of the dataset.",NA,"data science, scalability, data size, experimental analysis, running efficiency, information technology education",TRUE,NA
2,5,Oliver_2021_undergraduate_data,undergraduate data science degrees emphasize computer science and statistics but fall short in ethics training and domain-specific context,10.7717/peerj-cs.441,https://doi.org/10.7717/peerj-cs.441,"Oliver JC, McNeil T.",2021,"The interdisciplinary field of data science, which applies techniques from computer science and statistics to address questions across domains, has enjoyed recent considerable growth and interest. This emergence also extends to undergraduate education, whereby a growing number of institutions now offer degree programs in data science. However, there is considerable variation in what the field actually entails and, by extension, differences in how undergraduate programs prepare students for data-intensive careers. We used two seminal frameworks for data science education to evaluate undergraduate data science programs at a subset of 4-year institutions in the United States; developing and applying a rubric, we assessed how well each program met the guidelines of each of the frameworks. Most programs scored high in statistics and computer science and low in domain-specific education, ethics, and areas of communication. Moreover, the academic unit administering the degree program significantly influenced the course-load distribution of computer science and statistics/mathematics courses. We conclude that current data science undergraduate programs provide solid grounding in computational and statistical approaches, yet may not deliver sufficient context in terms of domain knowledge and ethical considerations necessary for appropriate data science applications. Additional refinement of the expectations for undergraduate data science education is warranted.",pubmed,TRUE,article,PeerJ Computer Science,NA,NA,"United States, United States",review of current state of data science education,TRUE,mixed,data science,Uses two frameworks for data science education to evaluate undergraduate data science programs at a subset of 4-year institutions in the United States,NA,not specified,TRUE,NA
5,2,Kochmar_2022_automated_datadriven,automated data-driven generation of personalized pedagogical interventions in intelligent tutoring systems,10.1007/s40593-021-00267-x,https://doi.org/10.1007/s40593-021-00267-x,"Kochmar E., Vu D.D., Belfer R., Gupta V., Serban I.V., Pineau J.",2022,"Intelligent tutoring systems (ITS) have been shown to be highly effective at promoting learning as compared to other computer-based instructional approaches. However, many ITS rely heavily on expert design and hand-crafted rules. This makes them difficult to build and transfer across domains and limits their potential efficacy. In this paper, we investigate how feedback in a large-scale ITS can be automatically generated in a data-driven way, and more specifically how personalization of feedback can lead to improvements in student performance outcomes. First, in this paper we propose a machine learning approach to generate personalized feedback in an automated way, which takes individual needs of students into account, while alleviating the need of expert intervention and design of hand-crafted rules. We leverage state-of-the-art machine learning and natural language processing techniques to provide students with personalized feedback using hints and Wikipedia-based explanations. Second, we demonstrate that personalized feedback leads to improved success rates at solving exercises in practice: our personalized feedback model is used in Korbit, a large-scale dialogue-based ITS with around 20,000 students launched in 2019. We present the results of experiments with students and show that the automated, data-driven, personalized feedback leads to a significant overall improvement of 22.95% in student performance outcomes and substantial improvements in the subjective evaluation of the feedback.",Scopus,TRUE,article,International Journal of Artificial Intelligence in Education,NA,NA,"Canada, United Kingdom, Canada, Canada",education technology,TRUE,mixed,interdisciplinary,Proposes a machine learning approach to generate personalized feedback in an automated way and demonstrates experimentally that personalized feedback leads to improved success rates at solving ML and data science exercises,NA,"Intelligent tutoring systems, Dialogue-based tutoring systems, Natural language processing, Deep learning, Personalized learning, Personalized feedback, Data science education",TRUE,NA
2,5,Hazzan_2021_journal,a journal for interdisciplinary data science education,10.1145/3469281,https://doi.org/10.1145/3469281,"Hazzan O., Mike K.",2021,"The Communications website, http://cacm.acm.org, features more than a dozen bloggers in the BLOG@CACM community. In each issue of Communications, we'll publish selected posts or excerpts.",Scopus,FALSE,blog post,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,It is a blog post
5,2,Hassan_2019_embedding_data,embedding data science into computer science education,10.1109/EIT.2019.8833753,https://doi.org/10.1109/EIT.2019.8833753,I. B. Hassan; J. Liu,2019,"As a fast-growing field with widespread impact on economy and its promising hiring potential, Data Science has been enthusiastically sought-out by many disciplines in the academia, including Mathematics, Statistics, Library Science, Management Information Systems, as well as Computer Science, as an attracting area for recruiting students, soliciting grants, and expanding their existing programs. Although some standalone programs in Data Science have been established around the country, many institutions encounter the challenges in balancing the curricula among different disciplines, allocating new resources, and cooperating with the existing majors regarding enrollment management, student advising, and faculty preparation. In this paper, a strategy-based framework is proposed for those who have limited resources of all kinds to introduce Data Science through their existing Computer Science programs at a baccalaureate level with a minimum curriculum disruption. Instead of a standalone program, to embed Data Science into Computer Science education is demonstrated to be a practical, effective, cost-saving approach based on an extensive study of the synergy between Data Science and Computer Science education. While the proposed framework is not a one-size-fits-all approach, it provides a doable route for blending Data Science into Computer Science education in systematic ways. It has become the consensus that an adequate exposure to Data Science will better prepare computer science students for taking the challenges in this ever-changing, data embraced world.",IEEE,FALSE,conference paper,NA,IEEE International Conference on Electro-Information Technology,NA,"United States, United States",program example,FALSE,no data,computer science,Proposes a way to embed Data Science into Computer Science for those institutions that have limited resources to develop it as a standalone program,NA,"Data Science Education, Computer Science Education, Curriculum Design",TRUE,NA
2,5,Witmer_2021_inclusivity,inclusivity in statistics and data science education,10.1080/26939169.2021.1906555,https://doi.org/10.1080/26939169.2021.1906555,"Witmer, J",2021,no abstract,web of science,TRUE,editorial material,Journal of Statistics and Data Science Education,NA,NA,United States,pedagogical approach,FALSE,FALSE,statistics,Reflections on how to make all students feel included in a statistics and/or data science class,NA,not specified,TRUE,NA
